HandID,Board,Winner,WinType,Pot,h_Hole,r_Hole,h_Bucket,r_Bucket,h_Action,r_Action,h_Delta,r_Delta
7145,Q♥Q♠9♣A♥5♠,h_bot,showdown,10,8♥T♦,7♦6♣,T8o,76o,fold,call,983,-1000
7146,3♥9♠A♦3♣T♥,r_bot,showdown,50,8♠4♠,8♦9♦,84s,98s,raise,raise,933,-950
7147,5♣6♥J♣3♠6♦,r_bot,showdown,10,Q♥9♣,A♠5♠,Q9o,A5s,fold,call,923,-940
7148,J♣T♠3♣5♠Q♠,r_bot,showdown,10,7♥9♠,A♣7♠,97o,A7o,fold,call,923,-940
7149,2♦7♦9♠6♠J♦,h_bot,showdown,10,7♥T♥,A♣Q♠,T7s,AQo,fold,call,923,-940
7150,7♥K♥2♦4♥T♥,r_bot,showdown,10,K♠6♦,5♥J♥,K6o,J5s,fold,call,923,-940
7151,8♦6♥8♠2♣Q♥,r_bot,showdown,60,4♥T♥,Q♦J♠,T4s,QJo,raise,fold,863,-880
7152,8♦7♥2♥2♠A♠,r_bot,showdown,120,9♦6♣,2♣5♦,96o,52o,fold,call,803,-820
7153,2♦5♣2♠9♥J♦,h_bot,showdown,120,8♣5♥,A♦Q♦,85o,AQs,call,call,863,-880
7154,7♣2♥4♣K♦5♠,h_bot,showdown,120,T♦2♣,9♠Q♣,T2o,Q9o,call,call,923,-940
7155,3♥5♦6♥K♥7♦,h_bot,showdown,70,4♣T♥,3♣Q♣,T4o,Q3s,fold,call,983,-1000
7156,4♣9♣4♥A♣3♦,h_bot,showdown,110,Q♠A♥,8♠2♥,AQo,82o,raise,call,983,-1000
